Group,ID,elevation,Treatment,ph,H2O-PI (mg/kg),NAHCO3-PT (mg/kg),NAHCO3-PI (mg/kg),NAHCO3-PO (mg/kg),NAOH-PT (mg/kg),NAOH-PI (mg/kg),NAOH-PO (mg/kg),HCL-P (mg/kg),R-P (mg/kg),BWDPI (mg/kg),TP (mg/kg),SiO2 (wt%),Al2O3 (wt%),CaO (wt%),Fe2O3 (wt%),K2O (wt%),MgO (wt%),MnO (wt%),Na2O (wt%),P2O5 (wt%),TiO2 (wt%),Pf,al( g/kg),fe (g/kg),som (g/kg),Gram Negative (nmol/g dry soil),Gram Positive (nmol/g dry soil),bat (nmol/g dry soil),Anaerobe (nmol/g dry soil),Actinomycetes (nmol/g dry soil),AM Fungi (nmol/g dry soil),Eukaryote (nmol/g dry soil),Fungi(nmol/g dry soil),Methanobacter(nmol/g dry soil),Total Biomass(nmol/g dry soil)
B,3,H,W,5.11,3.273028587,96.11932054,11.03930361,85.08001693,160.1688209,16.11884993,144.049971,2.449735813,189.9665552,14.3123322,451.977461,56.53,17.05,0.0346,2.33,2.99,0.366,0.0154,0.25,0.135,0.265,1.962962963,3.502515,2.81828,139.3717895,9.477845333,6.167637333,15.64548267,0.086976,3.604586667,0.381738667,0.310826667,0.794453333,0,27.09800533
B,3,H,W,4.76,2.278690789,80.87280762,8.823529412,72.04927821,146.4785017,13.13387772,133.344624,2.079187539,190.6354515,11.1022202,422.3446391,56.94,16.49,0.0442,2.79,2.56,0.419,0.0149,0.202,0.119,0.345,2.899159664,2.641515,3.15586,105.7521882,12.13783467,8.415936,20.55377067,0.122816,4.689173333,0.498837333,0.266069333,0.925717333,0,35.011584
B,3,H,W,4.89,2.610136721,95.87073609,10.48536006,85.38537603,169.3484569,18.03334934,151.3151076,2.429149798,186.9565217,13.09549678,457.2150012,56.08,16.24,0.0409,2.29,2.81,0.377,0.0163,0.233,0.133,0.27,2.030075188,3.208135,2.47577,131.6324706,10.064192,7.545472,17.609664,0.127104,3.398848,0.456341333,0.32224,0.566122667,0,28.88541867
B,3,H,A,4.79,2.858721171,86.424527,9.812714323,76.61181268,172.2764442,16.20119399,156.0752502,2.336512729,176.2541806,12.67143549,440.1503857,55.54,16.6,0.0351,2.22,2.9,0.352,0.0163,0.249,0.136,0.256,1.882352941,3.496625,2.707985,153.9430588,10.596096,6.410709333,17.00680533,0.087424,3.632021333,0.432832,0.294442667,1.042581333,0,29.49179733
B,3,H,A,4.78,3.065874879,83.4415136,8.388288051,75.05322555,149.7230282,14.01907637,135.7039518,2.233582653,210.7023411,11.45416293,449.1663404,57.3,16.86,0.0394,2.81,2.64,0.436,0.0158,0.221,0.128,0.369,2.8828125,2.565235,2.913145,120.9233882,8.509952,5.488768,13.99872,0.059605333,3.069077333,0.343189333,0.299306667,0.928874667,0,24.91140267
B,3,H,A,4.75,2.983013396,91.47907748,10.44579267,81.03328481,172.8303878,15.60419955,157.2261883,2.408563782,173.2441472,13.42880607,442.9451897,56.09,16.76,0.0361,2.25,2.82,0.387,0.0146,0.227,0.134,0.266,1.985074627,3.184965,2.545405,142.7877647,11.42097067,6.592448,18.01341867,0.134677333,4.084416,0.416789333,0.495786667,0.924224,0,32.56810667
B,1,L,W,4.69,2.030106339,53.11421074,6.093379056,47.02083168,79.13479293,5.475880052,73.65891288,1.33809099,143.1438127,8.123485395,278.7610137,63.4,22.04,0.021,2.93,4,0.357,0.0111,0.133,0.0453,0.254,5.607064018,1.29136,1.649885,27.05264505,5.712938667,3.464362667,9.177301334,0.049877333,1.767530667,0.182421333,0.143488,1.313322667,0,17.478272
B,1,L,W,4.8,3.231597846,54.93716338,5.302031126,49.63513225,75.0197837,4.693611473,70.32617223,1.441021066,119.3979933,8.533628972,254.0275593,63.27,21.9,0.013,2.88,3.94,0.348,0.0109,0.13,0.0417,0.262,6.282973621,1.228185,1.69787,29.28840084,5.153344,2.91424,8.067584,0.044117333,1.536234667,0.156629333,0.325056,1.243776,0,15.32772267
B,1,L,W,4.73,1.988675597,56.59439304,5.93510947,50.65928357,79.05565814,4.714197489,74.34146065,1.389556028,103.0100334,7.923785067,242.0383162,65.19,20.14,0.04,2.53,3.77,0.305,0.0137,0.121,0.054,0.27,5,1.26549,1.52306,39.57287747,3.702592,2.24896,5.951552,0.032298667,0.653589333,0.103765333,0.161706667,0.362368,0,10.00701867
B,1,L,A,4.52,2.195829305,53.69424113,5.222896333,48.4713448,76.52334476,5.146503808,71.37684095,1.163109861,109.3645485,7.418725638,242.9410736,63.51,21.8,0.0227,2.85,3.93,0.347,0.0098,0.135,0.0404,0.251,6.212871287,1.170315,1.567005,30.62985432,5.563434667,3.056469333,8.619904,0.053589333,1.740245333,0.179328,0.171072,1.334549333,0,16.42216533
B,1,L,A,4.56,2.237260047,53.11421074,4.985491955,48.12871879,77.15642311,5.105331778,72.05109133,1.204281891,96.65551839,7.222752002,230.3676942,63.82,21.67,0.0219,2.87,3.9,0.342,0.0107,0.117,0.0383,0.252,6.579634465,1.148845,1.644685,32.19488337,4.960234667,3.199146667,8.159381334,0.036437333,1.548714667,0.160277333,0.233088,0.699093333,0,14.836288
B,1,L,A,4.62,2.402983013,55.26860931,6.291216038,48.97739327,77.63123186,5.105331778,72.52590008,1.245453922,94.64882943,8.694199051,231.1971075,65.28,20.23,0.034,2.51,3.76,0.309,0.0136,0.125,0.0558,0.262,4.695340502,1.28448,1.61897,42.92651116,6.557354667,3.668842667,10.22619733,0.041621333,1.70464,0.190890667,0.300906667,1.309973333,0,19.15509333
B,2,M,W,4.91,2.692998205,51.8712885,4.352413611,47.51887489,93.06251649,8.893158581,84.16935791,1.163109861,165.2173913,7.045411816,314.0073044,55.36,24.13,0.0153,4.07,2.32,0.59,0.0142,0.0977,0.0702,0.389,5.541310541,2.41732,3.81158,45.83299368,4.096512,3.219178667,7.315690667,0.031914667,1.527658667,0.111082667,0.172352,0.194709333,0,12.36183467
B,2,M,W,5.03,2.692998205,56.76011601,5.579002902,51.18111311,97.65233448,11.30172236,86.35061212,1.873327386,176.5886288,8.272001107,335.5674049,56.83,22.41,0.0181,4.31,2.62,0.675,0.0144,0.0996,0.0791,0.469,5.92920354,1.885445,3.786715,46.28014484,4.368192,2.324906667,6.693098667,0.02368,1.120170667,0.076288,0.157376,0.304469333,0,11.45181867
B,2,M,W,5.27,3.397320812,56.09722414,5.381165919,50.71605822,96.38617779,10.74589995,85.64027784,1.451314074,181.9397993,8.778486731,339.2718361,58.73,22.31,0.0259,4.11,2.78,0.614,0.0227,0.0934,0.0857,0.457,5.332555426,1.6892,3.234435,40.69075537,5.689237333,3.096213333,8.785450666,0.056213333,0.903722667,0.093248,0.233728,1.480128,0,16.160128
B,2,M,A,4.72,2.071537081,51.53984256,4.510683197,47.02915936,95.83223424,9.572497084,86.25973716,1.430728059,176.5886288,6.582220278,327.4629707,55.4,24.18,0.0299,4.06,2.32,0.601,0.0141,0.0935,0.0666,0.38,5.705705706,2.304935,3.90126,45.60941811,3.486570667,2.038485333,5.525056,0.031146667,1.365909333,0.123968,0.100906667,0.173738667,0,9.789909333
B,2,M,A,4.92,2.444413755,67.28352438,5.420733316,61.86279106,95.59482986,13.25739381,82.33743605,1.420435051,187.2909699,7.865147071,354.0341729,55.98,23.36,0.0219,4.35,2.63,0.702,0.0143,0.108,0.0867,0.461,5.317185698,2.008545,3.633605,46.727296,3.946965333,2.224682667,6.171648,0.021397333,1.029162667,0.088469333,0.053056,0.225365333,0,10.37732267
B,2,M,A,5.07,3.894489711,55.76577821,5.191242416,50.57453579,95.91136903,10.99293213,84.9184369,4.384821245,256.187291,9.085732127,416.1437492,59.19,21.8,0.0229,3.86,2.58,0.598,0.0204,0.0998,0.0812,0.445,5.480295567,1.879875,3.130225,40.02002863,4.302229333,1.470762667,5.772992,0,0.797162667,0.064597333,0.160448,0.757909333,0,10.96004267
D,6,H,W,4.26,1.864383372,57.09156194,3.600633078,53.49092886,89.18491163,8.749056474,80.43585516,3.293762437,174.2474916,5.46501645,325.682111,67.33,12.49,0.0399,8.41,0.649,0.382,0.0071,0.128,0.176,1.43,8.125,0.86462,1.10133,41.56493151,1.921066667,1.537749333,3.458816,0.059008,0.722538667,0.056234667,0.151872,0.207936,0,6.845141333
D,6,H,W,3.87,2.858721171,56.59439304,3.91717225,52.67722079,79.76787127,8.563782337,71.20408893,5.167089824,181.270903,6.775893421,325.6589783,63.45,10.78,0.0591,12.74,0.591,0.271,0.0044,0.142,0.256,1.08,4.21875,0.361355,1.121425,57.67134247,2.177728,2.287808,4.465536,0.05472,1.108288,0.053098667,0.182229333,0.310997333,0,8.321877333
D,6,H,W,4.12,3.397320812,64.96340284,4.391981008,60.57142183,79.4513321,7.699169697,71.7521624,3.746654773,261.8729097,7.78930182,413.4316202,72.81,8.41,0.0649,9.18,0.432,0.204,0.0035,0.118,0.254,0.927,3.649606299,0.392445,0.974125,47.28010959,3.234794667,1.955989333,5.190784,0.053738667,1.36256,0.066346667,0.287658667,0.353472,0,10.23857067
D,6,H,A,4.25,3.065874879,60.32315978,2.215774202,58.10738558,94.17040359,8.419680231,85.75072336,2.367391752,351.5050167,5.281649081,511.4318467,66.8,12.85,0.105,9.08,0.624,0.397,0.0074,0.14,0.193,1.54,7.979274611,0.898395,1.216415,40.00624658,2.117930667,1.814058667,3.931989334,0.046634667,1.152256,0.057002667,0.085205333,0.187221333,0,7.707498667
D,6,H,A,3.71,2.071537081,55.43433227,3.996307043,51.43802523,81.50883672,8.399094215,73.10974251,2.038015508,347.4916388,6.067844124,488.5443604,62.11,11.55,0.0789,14.52,0.606,0.275,0.0041,0.137,0.262,1.21,4.618320611,0.34034,1.020375,43.12361644,2.145493333,1.552832,3.698325333,0.049706667,1.073792,0.043562667,0.16448,0.262250667,0,7.388992
D,6,H,A,4.04,4.184504903,58.91451457,3.679767871,55.2347467,88.3935637,7.51389556,80.87966814,2.573251904,231.7725753,7.864272774,385.8384104,67.08,9.09,0.0705,12.05,0.462,0.207,0.0039,0.141,0.25,1.06,4.24,0.42936,1.06037,49.87791781,1.983488,1.347968,3.331456,0.037333333,0.786474667,0.038165333,0.141930667,0.236458667,0,6.975488
D,4,L,W,4.43,3.521613037,62.97472725,6.805592192,56.16913506,142.4426273,14.22493653,128.2176908,3.479036574,212.7090301,10.32720523,425.1270343,63.97,18.47,0.0419,4.59,3.66,0.834,0.0074,0.152,0.155,0.988,6.374193548,1.10891,3.41782,32.90811765,3.162474667,3.938816,7.101290667,0.041813333,1.631296,0.071082667,0.086912,0.282517333,0,12.01211733
D,4,L,W,4.21,9.736224278,58.58306864,5.381165919,53.20190272,120.759694,11.96047485,108.7992192,3.664310712,229.4314381,15.1173902,422.1747357,63.86,18.08,0.0328,4.51,3.81,0.844,0.0095,0.145,0.135,0.978,7.244444444,1.09477,2.243,35.13917647,3.253461333,3.435968,6.689429333,0,2.702272,0.051754667,0.209109333,0.397461333,0,12.984832
D,4,L,W,4.24,9.611932054,55.02002486,5.579002902,49.44102196,110.4721709,11.19879229,99.27337861,2.943800178,244.1471572,15.19093496,422.1950852,64.88,18.97,0.0227,4.62,4.04,0.888,0.0083,0.146,0.118,1.05,8.898305085,0.961875,2.11599,30.67705882,3.305898667,3.958613333,7.264512,0.029269333,1.636906667,0.090368,0.262272,0.5008,0,13.006272
D,4,L,A,4.17,2.112967822,64.38337246,7.240833553,57.14253891,136.9031918,14.38962465,122.5135672,3.581966651,212.3745819,9.353801375,419.3560806,64.1,18.77,0.0242,4.45,3.68,0.847,0.0078,0.14,0.155,0.952,6.141935484,1.07619,3.369565,32.90811765,3.234752,2.949205333,6.183957333,0.051562667,1.768256,0.082645333,0.130496,0.388245333,0,11.78474667
D,4,L,A,4.19,1.657229664,58.99737605,5.499868109,53.49750794,120.8388288,12.18692102,108.6519078,2.923214163,232.1070234,7.157097773,416.5236721,64.1,18.61,0.064,4.48,3.9,0.876,0.0172,0.149,0.136,0.98,7.205882353,0.777335,1.56913,32.35035294,2.463317333,3.018453333,5.481770666,0.022186667,1.573824,0.038506667,0.144042667,0.303552,0,10.50811733
D,4,L,A,4.03,2.071537081,66.95207844,5.697705091,61.25437335,128.7523081,11.32230838,117.4299997,1.564537158,253.8461538,7.769242172,453.1866146,63.09,19.64,0.0344,4.84,4.11,0.919,0.0082,0.171,0.121,1.06,8.760330579,0.853625,1.985025,23.42611765,3.481408,2.526293333,6.007701333,0.052522667,1.701525333,0.068629333,0.235306667,0.487808,0,12.04283733
D,5,M,W,4.07,2.775859688,61.731805,6.884726985,54.84707802,124.7164337,12.51629726,112.2001364,2.429149798,265.5518395,9.660586673,457.2050877,54.44,18.44,0.0464,9.54,2.27,0.74,0.0079,0.136,0.172,0.967,5.622093023,2.175895,2.98457,59.74958904,3.894848,3.173546667,7.068394667,0.074197333,2.414997333,0.133504,0.211370667,0.310037333,0,14.74856533
D,5,M,W,3.94,2.734428946,69.02361552,6.686890003,62.33672552,123.3711422,10.76648597,112.6046562,2.182117615,244.8160535,9.421318949,442.1273578,58.26,18.52,0.0527,7.9,2.85,0.772,0.0069,0.145,0.189,0.864,4.571428571,1.262975,1.378575,68.06257534,4.196053333,3.238805333,7.434858666,0.073898667,2.368661333,0.104405333,0.200256,0.410176,0,15.30370133
D,5,M,W,3.95,9.943377986,68.11213921,6.330783434,61.78135578,113.9541018,10.21066356,103.7434382,2.038015508,236.4548495,16.27416142,430.502484,52.95,19.75,0.0398,9.56,3.09,0.808,0.0093,0.133,0.194,0.988,5.092783505,1.35406,1.37765,57.67134247,3.222954667,3.392042667,6.614997334,0.035797333,1.632938667,0.079829333,0.160874667,0.291712,0,11.327424
D,5,M,A,4.05,3.35589007,69.18933849,7.438670535,61.75066796,121.9467159,10.45769574,111.4890202,2.882042133,306.6889632,10.79456061,504.0629498,49.12,20.71,0.0479,11.31,2.47,0.816,0.0093,0.135,0.172,1.08,6.279069767,1.77766,2.683645,68.58213699,5.942677333,3.784192,9.726869333,0.106816,3.182506667,0.160277333,0.272277333,0.777557333,0,20.14133333
D,5,M,A,3.84,4.88882751,68.77503107,5.579002902,63.19602817,112.1340016,10.97234612,101.1616555,4.096617031,272.909699,10.46783041,462.8041762,51.1,20.94,0.0498,10.85,3.25,0.856,0.0102,0.129,0.201,1.06,5.273631841,1.410365,1.521205,69.62126027,3.120682667,3.341397333,6.46208,0.057642667,1.851562667,0.085077333,0.117674667,0.268821333,0,11.525312
D,5,M,A,3.96,10.89628504,64.88054136,4.945924558,59.9346168,106.5154313,10.10773348,96.40769782,3.06731627,254.5150502,15.8422096,439.8746242,53.1,19.56,0.0327,9.16,2.96,0.794,0.0077,0.12,0.183,0.953,5.207650273,1.513615,1.57381,56.63221918,3.208810667,2.633258667,5.842069334,0.049152,1.753642667,0.087082667,0.266901333,0.923306667,0,11.8448
J,9,H,W,5.23,2.692998205,66.53777103,5.381165919,61.15660511,134.6082828,18.56858574,116.0396971,2.387977767,196.9899666,8.074164124,403.2169964,41.56,29.58,0.0489,5.6,1.82,0.276,0.0118,0.124,0.118,0.564,4.779661017,6.980035,8.411935,122.7082353,3.089664,1.136256,4.22592,0,0.337365333,0,0.476202667,0,0.818730667,12.67266133
J,9,H,W,4.87,2.237260047,63.80334208,5.499868109,58.30347397,125.1912424,16.42764016,108.7636022,2.387977767,232.7759197,7.737128156,426.395742,43.81,25.67,0.0563,5.92,1.79,0.272,0.013,0.115,0.131,0.548,4.183206107,5.362025,7.679055,131.6324706,2.086421333,0.959744,3.046165333,0,0.231274667,0,0.404501333,0,0.675818667,10.41493333
J,9,H,W,5.27,2.775859688,60.57174423,3.996307043,56.57543719,128.4357689,15.87181775,112.5639512,3.190832361,196.9899666,6.772166731,391.9641718,42.68,31.25,0.0566,5.25,2.08,0.298,0.0119,0.128,0.104,0.487,4.682692308,5.805775,6.011765,109.3218824,0.507008,1.758037333,2.265045333,0,1.679104,0,0.223701333,0.393962667,1.032170667,12.78333867
J,9,H,A,5.1,2.775859688,66.28918658,4.668952783,61.6202338,128.3566341,17.53928498,110.8173491,2.655595965,226.7558528,7.444812471,426.8331291,40.99,28.45,0.0464,5.46,1.7,0.275,0.0125,0.129,0.118,0.545,4.618644068,6.73901,8.08747,118.2461176,6.587157333,4.627946667,11.215104,0.043925333,2.877632,0.359616,0.370432,0.386069333,0.719018667,23.33134933
J,9,H,A,4.94,3.521613037,61.48322055,5.341598523,56.14162203,121.155368,14.61607082,106.5392972,2.20270363,175.5852843,8.86321156,363.9481895,43.82,27.11,0.0561,5.32,1.66,0.297,0.0122,0.131,0.13,0.513,3.946153846,6.14975,8.870835,113.784,5.462272,1.628117333,7.090389333,0,1.654741333,0,0.242944,0.339434667,0.80096,17.90762667
J,9,H,A,5.02,3.024444138,58.08589974,4.431548404,53.65435134,123.7668161,15.5424415,108.2243746,2.470321828,177.9264214,7.455992542,365.2739032,40.78,30.58,0.0535,5.21,2.01,0.286,0.0122,0.123,0.107,0.481,4.495327103,6.05715,6.232845,120.4771765,9.9744,6.884437333,16.85883733,0.082794667,4.101312,0,0.413290667,0.791978667,0.984448,32.93288533
J,7,L,W,5.53,3.065874879,51.3741196,2.730150356,48.64396924,73.67449222,6.958073149,66.71641907,2.058601523,179.5986622,5.796025235,309.7717504,55.24,27.76,0.266,3.83,5.93,0.526,0.032,0.24,0.0834,0.484,5.803357314,0.616985,0.48341,15.97935109,2.134165333,2.023552,4.157717333,0,0.877226667,0.09408,0.071658667,0.193770667,0,7.141333333
J,7,L,W,5.63,3.521613037,48.3911062,3.758902664,44.63220354,67.73938275,6.916901119,60.82248163,1.914499417,164.8829431,7.280515701,286.4495445,56.85,25.69,0.55,3.6,6.26,0.63,0.052,0.647,0.0919,0.439,4.776931447,0.372585,0.51118,19.00991768,3.442432,3.851818667,7.294250667,0.048149333,0.984064,0.174976,0.185429333,0.230122667,0,11.625408
J,7,L,W,5.5,3.024444138,45.32523132,2.453178581,42.87205274,58.71801635,4.590681397,54.12733495,1.976257462,145.1505017,5.477622719,254.194451,57.2,25.51,0.444,3.69,7.09,0.493,0.0353,0.792,0.0859,0.506,5.890570431,0.24879,0.194085,5.785627119,1.318848,0.751978667,2.070826667,0,0.39584,0.043370667,0.058090667,0.102570667,0,3.604501333
J,7,L,A,5.37,5.054550476,47.3967684,3.086256924,44.31051148,73.9118966,6.505180814,67.40671579,2.408563782,158.5284281,8.1408074,287.3002074,54.79,27.37,0.278,3.75,6.11,0.526,0.0315,0.236,0.0866,0.491,5.669745958,0.06361,0.04848,14.87732688,2.799957333,2.204970667,5.004928,0.026901333,1.149845333,0.125610667,0.098517333,0.165141333,0,9.251776
J,7,L,A,5.39,4.847396768,49.63402845,4.115009232,45.51901922,73.43708784,7.328621423,66.10846642,2.511493859,201.6722408,8.962406,332.1022477,55.06,26.88,0.592,3.8,6.03,0.674,0.0532,0.567,0.0991,0.491,4.954591322,0.34491,0.45273,17.63238741,3.741568,2.581504,6.323072,0.031637333,1.061952,0.223466667,0.259349333,0.198293333,0,11.06737067
J,7,L,A,5.39,4.764535285,44.24803204,2.611448167,41.63658387,67.89765233,5.969944418,61.92770791,2.367391752,144.1471572,7.375983452,263.4247686,56.89,25.85,0.449,3.61,6.76,0.513,0.0334,0.752,0.0863,0.501,5.805330243,0.34996,0.229225,11.02024213,2.861354667,3.016448,5.877802667,0.040896,0.825450667,0.114730667,0.154901333,0.306410667,0,10.000192
J,8,M,W,5.44,2.610136721,49.46830548,3.3632287,46.10507678,73.35795305,7.47272353,65.88522952,2.696767996,137.458194,5.973365421,265.5913572,52.09,31.83,0.0249,4.07,1.76,0.253,0.0107,0.0857,0.0611,0.436,7.135842881,1.12893,1.19711,26.72408717,0.62816,0.319402667,0.947562667,0,0.2304,0,0.102016,0,0.109802667,4.277696
J,8,M,W,5.32,2.775859688,43.58514017,3.007122131,40.57801804,60.85465576,5.74349825,55.11115751,2.758526041,145.1505017,5.782981819,255.1246834,52.69,32.67,0.0148,4.34,1.01,0.222,0.0099,0.0634,0.0554,0.55,9.927797834,0.86194,1.44044,22.31599031,0.963690667,0.484117333,1.447808,0,0.015125333,0,0.114026667,0.278165333,0.222506667,5.849237333
J,8,M,W,5.38,2.900151913,46.81673802,2.848852546,43.96788547,64.57399103,6.093460509,58.48053052,2.573251904,153.1772575,5.749004459,270.0413904,51.74,32.66,0.0147,4,1.65,0.243,0.0104,0.0755,0.054,0.463,8.574074074,1.14363,1.421655,24.52003874,1.111466667,0.946346667,2.057813334,0,0.689514667,0,0.124416,0.277056,0.27008,8.093184
J,8,M,A,5.27,2.444413755,47.14818395,3.91717225,43.2310117,72.8040095,7.51389556,65.29011394,2.223289645,133.1103679,6.361586005,257.7302648,51.16,33,0.0173,4.01,1.72,0.26,0.0108,0.0657,0.0618,0.428,6.925566343,1.20032,1.235,26.44858111,5.090069333,0.438762667,5.528832,0.394922667,0.193024,0,0.049152,0,0,8.7344
J,8,M,A,5.03,2.402983013,48.55682917,2.097072013,46.45975716,63.30783434,5.208261854,58.09957249,3.211418376,116.722408,4.500055026,234.2014729,51.72,33.88,0.0144,4.33,1.02,0.228,0.0091,0.0567,0.055,0.563,10.23636364,0.849615,1.399475,19.83643584,0.793152,0.573184,1.366336,0.029738667,0.180757333,0,0.101162667,0,0.169258667,5.646165333
J,8,M,A,5.17,3.065874879,46.23670764,2.730150356,43.50655728,66.71063044,6.052288479,60.65834196,2.882042133,134.7826087,5.796025235,253.6778638,53.05,31.56,0.015,3.87,1.63,0.242,0.0095,0.0724,0.056,0.441,7.875,1.000765,1.28574,25.07105085,0.918037333,0.843498667,1.761536,0.032810667,0.208661333,0,0.113813333,0.341141333,0.290389333,7.100650667
